KUPANG~MAULAFA~3~KOE02~MAULAFA~OEPURA
KUPANG~MAULAFA~4~KOE02~MAULAFA~SIKUMANA
KUPANG~MAULAFA~5~KOE02~MAULAFA~FATUKOA
KUPANG~MAULAFA~6~KOE02~MAULAFA~KOLHUA
KUPANG~MAULAFA~7~KOE02~MAULAFA~NAIMATA
KUPANG~MAULAFA~8~KOE02~MAULAFA~BELLO
KUPANG~MAULAFA~9~KOE02~MAULAFA~PENFUI
KUPANG~NEKEMESE~1~KOE01~NEKEMESE~BISMARK BISMARAK
KUPANG~NEKEMESE~2~KOE01~NEKEMESE~BONE
KUPANG~NEKEMESE~3~KOE01~NEKEMESE~LIFULEO
KUPANG~NEKEMESE~4~KOE01~NEKEMESE~OBEN
KUPANG~NEKEMESE~5~KOE01~NEKEMESE~OELOMIN
KUPANG~NEKEMESE~6~KOE01~NEKEMESE~OEMASI
KUPANG~NEKEMESE~7~KOE01~NEKEMESE~OENIF
KUPANG~NEKEMESE~8~KOE01~NEKEMESE~OEPAHA
KUPANG~NEKEMESE~9~KOE01~NEKEMESE~TALOITAN
KUPANG~NEKEMESE~10~KOE01~NEKEMESE~TASIKONA
KUPANG~NEKEMESE~11~KOE01~NEKEMESE~TUNFEU
KUPANG~NEKEMESE~12~KOE01~NEKEMESE~USAPISONBAI
KUPANG~OEBOBO~1~KOE02~OEBOBO~FATULULI
KUPANG~OEBOBO~2~KOE02~OEBOBO~KAYA PUTIH
KUPANG~OEBOBO~3~KOE02~OEBOBO~LILIBA
KUPANG~OEBOBO~4~KOE02~OEBOBO~OEBOBO
KUPANG~OEBOBO~5~KOE02~OEBOBO~OEBUFU
KUPANG~OEBOBO~6~KOE02~OEBOBO~TUAK DAUN MERAH
KUPANG~OEBOBO~7~KOE02~OEBOBO~OETETE
KUPANG~SEMAU~1~KOE01~SEMAU~BATUINAN
KUPANG~SEMAU~2~KOE01~SEMAU~BOKONUSAN
KUPANG~SEMAU~3~KOE01~SEMAU~HANSISI
KUPANG~SEMAU~4~KOE01~SEMAU~HUILELOT
KUPANG~SEMAU~5~KOE01~SEMAU~OTAN
KUPANG~SEMAU~6~KOE01~SEMAU~UIASA
KUPANG~SEMAU~7~KOE01~SEMAU~UITAO
KUPANG~SEMAU SELATAN~1~KOE01~SEMAU SELATAN~AKLE
KUPANG~SEMAU SELATAN~2~KOE01~SEMAU SELATAN~NAIKEN NAIKEAN
KUPANG~SEMAU SELATAN~3~KOE01~SEMAU SELATAN~ONANSILA OENANSILA
KUPANG~SEMAU SELATAN~4~KOE01~SEMAU SELATAN~UIBOA
KUPANG~SEMAU SELATAN~5~KOE01~SEMAU SELATAN~UITIUH ANA
KUPANG~SEMAU SELATAN~6~KOE01~SEMAU SELATAN~UITIUH TUAN
KUPANG~SULAMU~1~KOE01~SULAMU~BIPOLO
KUPANG~SULAMU~2~KOE01~SULAMU~OETETA
KUPANG~SULAMU~3~KOE01~SULAMU~PANTAI BERINGIN
KUPANG~SULAMU~4~KOE01~SULAMU~PANTULAN
KUPANG~SULAMU~5~KOE01~SULAMU~PARITI
KUPANG~SULAMU~6~KOE01~SULAMU~PITAI
KUPANG~SULAMU~7~KOE01~SULAMU~SULAMU
KUPANG~TAEBENU~1~KOE01~TAEBENU~BAUMATA
KUPANG~TAEBENU~2~KOE01~TAEBENU~BAUMATA BARAT
KUPANG~TAEBENU~3~KOE01~TAEBENU~BAUMATA TIMUR
KUPANG~TAEBENU~4~KOE01~TAEBENU~BAUMATA UTARA
KUPANG~TAEBENU~5~KOE01~TAEBENU~BOKONG
KUPANG~TAEBENU~6~KOE01~TAEBENU~KUAKLALO
KUPANG~TAEBENU~7~KOE01~TAEBENU~OELETSALA
KUPANG~TAEBENU~8~KOE01~TAEBENU~OELTUA
KUPANG~TAKARI~1~KOE01~TAKARI~BENU
KUPANG~TAKARI~2~KOE01~TAKARI~HUEKNUTU
KUPANG~TAKARI~3~KOE01~TAKARI~KAUNIKI
KUPANG~TAKARI~4~KOE01~TAKARI~NOELMINA
KUPANG~TAKARI~5~KOE01~TAKARI~OELNAINENO
KUPANG~TAKARI~6~KOE01~TAKARI~TAKARI
KUPANG~TAKARI~7~KOE01~TAKARI~TANINI
